column	line	corpus	llama	llama_n	marks	context
page-023-L	37	χης	χῆς	4	+circumflex	χης ἀλλὰ φυσικόν πιε3. 910 b30. τὸ ἐξ ἀνάγκης ϗ̀ ἀεὶ ἅμα
page-025-L	35	σκεψις	σκέψις	4	+acute	σκεψις) Αα30. 46 a5. τὴν φύσιν ἀθρεῖν Μβ3. 998 b1. τὸ
page-029-L	27	τικὴ	τική	4	-grave,+acute	τικὴ φύσις Ζμβ1. 647 a35. Ζγδ8. 776 b12. αἱμ. ἀρχή
page-029-R	25	αἰνιγμα	αἴνιγμα	4	+acute	αἰνιγματώδης. τὰ Λακωνικὰ ἀποφθέγματα ϗ̀ τὰ αἰνιγμα-
page-030-L	28	καλȣμενοι	καλȣ́μενοι	4	+acute	3. αἶγες ἐν τῷ ȣ̓ρανῷ. οἱ καλȣμενοι ὑπό τινων δαλοὶ ϗ̀
page-030-R	54	ȣ͂σα	ȣ̓͂σα	4	+smooth	αἶσα, etymol i q ἀεὶ ȣ͂σα (αἰτία) κ7. 401b14.
page-040-L	1	τοιȣτων	τοιȣ́των	4	+acute	plur ὡς ἐνδέχεται λαμβάνειν τῶν τοιȣτων τὰς ἀκριβείας
page-040-L	60	ἀκριβȣν	ἀκριβȣ͂ν	4	+circumflex	ἀκριβȣν. ἡ διάμετρος βȣλεται μὲν κατὰ τὸν διὰ παντὸς εἶναι
page-046-L	46	ἀλλοιȣ̃σθαί	ἀλλοῖȣσθαι	4	-acute	μενον ἢ ξηραινόμενον ἢ λευκαινόμενον ἀλλοιȣ̃σθαί φαμεν Φη2.
page-018-R	56	δῆμȣ	δήμȣ	3	-circumflex,+acute	ραῖον (δῆμȣ εἶδος) τὸ περὶ ὠνὴν ϗ̀ πρᾶσιν διατρῖβον Πδ4.
page-019-L	44	ἐνιαυτȣ	ἐνιαυτȣ͂	3	+circumflex	1254 b11. π45. 896 a2. ἅπαξ τȣ ἐνιαυτȣ τίκτει τὰ πολλὰ
page-021-L	54	κακȣργικὰ	κακȣργικά	3	-grave,+acute	ἀδικεῖν ἀδικήματα ὑβριστικά, κακȣργικὰ, ἐπιζήμια Ρβ16.
page-024-L	58	ȣρανȣ̃	ȣ̓ρανȣ͂	3	+smooth	ἀθανασία ȣρανȣ̃ ϗ̀ ἀιδιότης Οβ1. 284a1. ἀθανασία, syn ζωὴ
page-025-L	28	δȣλοις	δȣ́λοις	3	+acute	λαμβάνȣσιν Ργ1.1403b22, 1404a17. τοῖς δȣλοις ἆθλον προ-
page-026-R	10	Ἀίδης	Ἅιδης	3	-smooth,+rough	Ἀίδης v ἅδης.
page-029-L	31	αἱματικὰ	αἱματικά	3	-grave,+acute	τὰ αἱματικὰ (μόρια) Ζια4. 489 a25. — τὰ αἱματικά i q τὰ
page-032-L	1	πασχει	πάσχει	3	+acute	ἐνεργȣ́σης Ηκ4. 1174 b14. ȣ̀ μόνον πασχει αλλα ϗ̀ ἀντι-
page-033-L	18	αἰσθητη	αἰσθητή	3	+acute	νεσθαι τὴν αἴσθησιν αι3. 440 a19. ἐπὶ τῶν ἄλλων αἰσθητη-
page-033-R	20	ἀλλοιȣται	ἀλλοῖȣται	3	+circumflex	αἰσθητικὸν ȣ πάσχει ȣδ' ἀλλοιȣται ψγ7. 431 a5. ȣχ ὁμοία
page-037-L	54	σπȣδαῖα	σπȣδαία	3	-circumflex,+acute	τὰ σπȣδαῖα μάλιστα ποιητὴς Ὅμηρος ἦν πο4. 1448b34. —
page-037-R	7	ποῖοί	ποιοί	3	-circumflex	787b11. οἱ ἀκμάζοντες ποῖοί τινές εἰσι τὰ ἤθη Ρβ14.
page-038-R	5	ȣδενί	ȣ̓δενὶ	3	-acute,+grave,+smooth	b19, 25. 11. 1209 a7, b32 al. ἀκολȣθεῖν παντί, ȣδενί Αα4.
page-039-R	12	πόνηρος	πονηρός	3	order	πόνηρος Ηη9. 1150b30 sqq. 11. 1152a17. ημβ6. 1203b30.
page-039-R	46	ȣδεμίαν	ȣ̓δεμίαν	3	+smooth	(τῶν κινήσεων) ȣδεμίαν ὑποληπτέον Ζιη3. 583b5. — ἡ πόρ-
page-040-L	5	ἁπλȣ	ἁπλȣ͂	3	+circumflex	στεραι ἢ ἁπλȣστεραι Με1. 1025 b7. ἀντὶ λόγȣ ἁπλȣ ἀκρι-
page-041-L	9	ὁτιȣ̃ν	ὁτιȣν	3	-circumflex	extrema τῆς εὐθείας τῶν ἐντὸς τῶν ἄκρων ὁτιȣ̃ν σημεῖον δυ-
page-041-L	13	ρειν	ῥεῖν	3	+circumflex,+rough	ρειν ἢ κατὰ τὸ μέσον μχ26. 857 a5. τȣ̃ πολυαγκίστρȣ τὸ
page-041-R	3	ἀκροτάτῃ	ἀκροτάτη	3	-subscript	ἀκρότατος. ἀκροτάτῃ κορυφῇ (Hom Α 499) κ6. 397b26.
page-042-R	41	νεοττȣ̀ς	νεοττȣ́ς	3	-grave,+acute	ρίδες ἀναπαύονται ὑφ' ἑαυτὰς ἀγόμεναι τȣ̀ς νεοττȣ̀ς Ζιι9.
page-043-L	59	θειαν	θείαν	3	+acute	θειαν Ηα4. 1096a16. ἀμφοτέρων τῶν νοητικῶν μορίων ἀλή-
page-046-L	24	ἀλλοία	ἀλλοῖα	3	-acute,+circumflex	Ζγδ3. 768 b32. ἀλλοία ἡ φωνὴ γίνεται ἀλλοίȣ γινομένȣ τȣ̃
page-047-L	26	ἅλμῃ	ἅλμη	3	-subscript	ἅλμη. ἅλμη προσραίνεσθαι Ζιθ10. 596 a26. ἐν ἅλμῃ τρέφε-
page-016-L	15	ὁμολογȣμενα	ὁμολογȣ́μενα	2	+acute	αἴτιον ταὐτόματον Πη1. 1323b27. — ἀγαθὰ ὁμολογȣμενα
page-016-R	42	ἀγαπᾶσθαί	ἀγαπᾶσθαι	2	-acute	φορεῖν οβ 1348 a29). τὸ φιλεῖσθαι ἀγαπᾶσθαί ἐστιν αὐτὸν
page-018-L	18	ἀγνευτικὰ	ἀγνευτικά	2	-grave,+acute	ἀγνευτικὰ ζῷα, opp ἀφροδισιαστικά Ζια1. 488 b5.
page-019-R	41	βαθῆ	βάθη	2	-circumflex,+acute	βαθῆ πκγ31. 935 a2.
page-020-L	47	γραφικὴ	γραφική	2	-grave,+acute	τικωτάτη, opp γραφικὴ Ργ12. 1413 b9, 4. — ἀγωνιστι-
page-021-L	20	αἴσθη	αἰσθή	2	order	1373 a33. ἀδιάφορα ὧν ἀδιαίρετον τὸ εἶδος κατὰ τὴν αἴσθη-
page-021-L	51	ἀδικȣ̃σι	ἀδικȣσι	2	-circumflex	τίνος ἕνεκα ϗ̀ πῶς ἔχοντες ἀδικȣ̃σι ϗ̀ τίνας Ρα10-12. ρ5.
page-023-R	21	ȣ̓σης	ȣ̓́σης	2	+acute	ἀερώδης. ὑπὸ τῆς τȣ̃ πλεύμονος κινήσεως ȣ̓σης ἀερώδȣς ϗ̀
page-024-L	11	ψύξιν	ψῦξιν	2	-acute,+circumflex	πῆξις ἀέρος) διὰ τὴν ψύξιν γίνεται νέφος ϗ̀ ὕδωρ μα4. 342
page-025-L	51	δȣ̀ναι	δȣ͂ναι	2	-grave,+circumflex	συντιθέναι ρ23. 1434 b9. ἀθρόας τὰς τιμὰς δȣ̀ναι, ἀφαι-
page-027-R	32	ȣ́σης	ȣ̓́σης	2	+smooth	ἐν αἰθρίαις μα6. 343 b19. αἰθρίας ȣ́σης μα4. 342 a12. 5.
page-028-L	60	πεφθὲν	πεφθέν	2	-grave,+acute	σπέρμα πεφθὲν ἀποκρίνεται τȣ̃ αἵματος Ζγα19. 726 b6, 727
page-036-R	25	ȣ͂σαν	ȣ̓͂σαν	2	+smooth	ἀκατάληπτος. τὴν ὑπάτην ὁρῶντες ἀκατάληπτον ȣ͂σαν πιθ42.
page-036-R	41	νομήν	νομὴν	2	-acute,+grave	ἀκέραιον νομήν Ζιζ21. 575b3.
page-037-R	34	σημαίνη	σημαίνῃ	2	+subscript	ι40. 627a17. ἀκοὴν ἔχει τὸ ζῷον ὅπως σημαίνη τι αὐτῷ
page-038-L	43	ἀκολȣθȣσιν	ἀκολȣθȣ͂σιν	2	+circumflex	1293b37. τῇ δικαιοσύνῃ ἀκολȣθȣσιν αἱ ἄλλαι ἀρεταί Πγ13.
page-038-R	29	ἀκολȣθȣν	ἀκολȣθȣ͂ν	2	+circumflex	b40. — τὸ ἀκόλȣθόν τινι i q ἀκολȣθȣν τινί (cf h v) τβ4. 111
page-041-R	3	κορυφῇ	κορυφή	2	-circumflex,-subscript,+acute	ἀκρότατος. ἀκροτάτῃ κορυφῇ (Hom Α 499) κ6. 397b26.
page-041-R	32	ȣ̃ς	ȣ̔̀ς	2	-circumflex,+grave,+rough	extremae, ἡ κύλιξ κολοβός, ἂν τρυπηθῇ τὸ ȣ̃ς ἢ ἀκρωτή-
page-041-R	50	ποιȣ͂σι	ποιȣσι	2	-circumflex	τȣσιν αἱ ἀκτῖνες ϗ̀ ποιȣ͂σι σκιάν μγ4. 374b4. λήγȣσι διὰ τὸ
page-042-L	26	ἀλατοπωλία	ἁλατοπωλία	2	-smooth,+rough	ἀλατοπωλία τῶν ἁλῶν οβ1346 b21.
page-043-L	44	μῦ	μυ	2	-circumflex	opp τὰ ὅμοια Πθ5. 1340a24. κατὰ τὴν ἀλήθειαν, opp μῦ-
page-043-L	60	θεια	θεῖα	2	+circumflex	θεια τὸ ἔργον· τῶν πρακτικῶν ἡ ἀλήθεια ὁμολόγως ἔχȣσα τῇ
page-043-R	3	θείᾳ	θεῖα	2	-acute,-subscript,+circumflex	θείᾳ (i e ἀληθῶς. τῷ ὄντι) Ηε8. 1133 a27, b19. οβ1350b1,
page-044-R	24	ἁλιευτικὸς	ἁλιευτικός	2	-grave,+acute	ἁλιευτικὸς βίος Πα8. 1256 b2. κάλαμος Ζμδ12. 693 a23.
page-047-R	22	ἁλκυόνος	ἀλκυόνος	2	-rough,+smooth	ἁλοσάχνη. ἡ τῆς ἁλκυόνος νεοττιὰ παρομοία ταῖς καλȣμέναις
page-049-L	20	κατορθȣ͂ν	κατορθȣν	2	-circumflex	ἁμαρτάνειν, opp κατορθȣ͂ν Ηβ6. 1107 a15 al. ρ30. 1437
page-049-L	30	Ἡρα	Ἥρα	2	+acute	βȣλονται Φδ6. 213 a24. ἁμαρτάνȣσιν ὅσοι τῶν ποιητῶν Ἡρα-
page-050-L	7	λεια	λεία	2	+acute	λεια αρ6. 1251 a22.
page-051-L	17	μȣσική	μȣσικὴ	2	-acute,+grave	ἀμȣσία ϗ̀ μȣσική, πάθος καθ' αὑτόν Γα4. 319 b27.
page-051-R	19	Πιττακȣ͂	Πιττακȣ	2	-circumflex	Ἀμφιάραος. Πιττακȣ͂ ἀπόφθεγμα εἰς Ἀ. Ρβ12. 1389 a16.
